prior,obs,prediction
5-10KT|West|8000|9999|28|70|NOSIG,10-15KT|Northwest|9999|9999|33|60|NOSIG,<5KT|West|3000|8000|25|90|HZ
10-15KT|Northwest|9999|9999|33|60|NOSIG,5-10KT|Northwest|8000|9999|28|70|NOSIG,10-15KT|West|8000|9999|28|80|NOSIG
5-10KT|Northwest|8000|9999|28|70|NOSIG,<5KT|Northwest|4000|8000|26|80|HZ,<5KT|VRB|2000|8000|26|90|+RA
<5KT|Northwest|4000|8000|26|80|HZ,5-10KT|West|5000|9999|29|70|HZ,<5KT|Northwest|3000|5000|23|80|HZ
5-10KT|West|5000|9999|29|70|HZ,10-15KT|Northwest|9999|9999|32|60|NOSIG,5-10KT|North|7000|9999|33|60|TS
10-15KT|Northwest|9999|9999|32|60|NOSIG,5-10KT|West|7000|8000|28|70|NOSIG,10-15KT|West|4000|9999|27|80|HZ
5-10KT|West|7000|8000|28|70|NOSIG,5-10KT|Northwest|5000|6000|26|80|HZ,5-10KT|West|7000|7000|25|80|NOSIG
5-10KT|Northwest|5000|6000|26|80|HZ,5-10KT|VRB|7000|9999|29|70|NOSIG,10-15KT|West|7000|9999|27|80|NOSIG
5-10KT|VRB|7000|9999|29|70|NOSIG,10-15KT|Northeast|8000|9999|31|70|NOSIG,5-10KT|East|9999|9999|31|60|NOSIG
10-15KT|Northeast|8000|9999|31|70|NOSIG,<5KT|East|6000|7000|28|80|NOSIG,5-10KT|East|5000|8000|28|80|BR
<5KT|East|6000|7000|28|80|NOSIG,<5KT|South|5000|7000|27|80|HZ,UNKNOWN
<5KT|South|5000|7000|27|80|HZ,5-10KT|East|5000|8000|28|80|VCTS,UNKNOWN
5-10KT|East|5000|8000|28|80|VCTS,5-10KT|North|8000|9999|28|80|VCTS,<5KT|Southwest|2000|5000|26|80|VCTS
5-10KT|North|8000|9999|28|80|VCTS,<5KT|VRB|5000|8000|27|80|VCTS,<5KT|Northwest|2000|6000|26|90|VCTS
<5KT|VRB|5000|8000|27|80|VCTS,<5KT|Southwest|4000|5000|26|90|HZ,<5KT|South|4000|7000|26|90|HZ
<5KT|Southwest|4000|5000|26|90|HZ,5-10KT|VRB|3000|7000|27|80|VCTS,<5KT|VRB|5000|7000|28|80|HZ
5-10KT|VRB|3000|7000|27|80|VCTS,<5KT|VRB|5000|8000|27|80|-TSRA,UNKNOWN
<5KT|VRB|5000|8000|27|80|-TSRA,<5KT|VRB|2000|8000|27|80|HZ,UNKNOWN
<5KT|VRB|2000|8000|27|80|HZ,<5KT|Southwest|2000|2000|25|90|HZ,<5KT|Southwest|5000|5000|25|90|HZ
<5KT|Southwest|2000|2000|25|90|HZ,<5KT|VRB|2000|7000|28|80|HZ,UNKNOWN
<5KT|VRB|2000|7000|28|80|HZ,5-10KT|North|6000|9000|31|70|NOSIG,5-10KT|Northeast|6000|9999|31|70|NOSIG
5-10KT|North|6000|9000|31|70|NOSIG,<5KT|VRB|4000|6000|27|80|HZ,5-10KT|VRB|6000|7000|27|80|NOSIG
<5KT|VRB|4000|6000|27|80|HZ,<5KT|VRB|3000|5000|25|90|HZ,<5KT|VRB|4000|6000|26|80|HZ
<5KT|VRB|3000|5000|25|90|HZ,5-10KT|West|3000|9000|28|80|VCTS,<5KT|VRB|5000|9999|29|80|HZ
5-10KT|West|3000|9000|28|80|VCTS,5-10KT|West|1000|9000|26|90|TSRA,<5KT|Southwest|6000|9000|25|90|NOSIG
5-10KT|West|1000|9000|26|90|TSRA,5-10KT|West|5000|6000|25|90|-RA,UNKNOWN
5-10KT|West|5000|6000|25|90|-RA,5-10KT|Northwest|5000|6000|25|90|HZ,UNKNOWN
5-10KT|Northwest|5000|6000|25|90|HZ,5-10KT|Northwest|6000|8000|28|80|-RA,UNKNOWN
5-10KT|Northwest|6000|8000|28|80|-RA,5-10KT|Northwest|3000|9999|28|80|TSRA,5-10KT|Northwest|6000|8000|29|70|DZ
5-10KT|Northwest|3000|9999|28|80|TSRA,<5KT|VRB|3000|6000|26|90|BR,UNKNOWN
<5KT|VRB|3000|6000|26|90|BR,5-10KT|Northwest|4000|5000|25|90|HZ,5-10KT|East|5000|9999|29|70|NOSIG
5-10KT|Northwest|4000|5000|25|90|HZ,<5KT|North|4000|8000|27|80|HZ,UNKNOWN
<5KT|North|4000|8000|27|80|HZ,5-10KT|North|8000|9999|30|70|VCTS,UNKNOWN
5-10KT|North|8000|9999|30|70|VCTS,5-10KT|Northwest|4000|8000|27|80|VCTS,<5KT|VRB|4000|9000|28|80|VCTS
5-10KT|Northwest|4000|8000|27|80|VCTS,5-10KT|Northwest|4000|7000|25|90|VCTS,UNKNOWN
5-10KT|Northwest|4000|7000|25|90|VCTS,5-10KT|North|3000|8000|26|90|HZ,UNKNOWN
5-10KT|North|3000|8000|26|90|HZ,10-15KT|North|9000|9999|30|70|VCTS,UNKNOWN
10-15KT|North|9000|9999|30|70|VCTS,5-10KT|North|2000|9999|26|90|VCTS,UNKNOWN
5-10KT|North|2000|9999|26|90|VCTS,5-10KT|North|4000|6000|25|90|BR,UNKNOWN
5-10KT|North|4000|6000|25|90|BR,5-10KT|North|3000|9000|26|90|+RA,UNKNOWN
5-10KT|North|3000|9000|26|90|+RA,5-10KT|North|9000|9999|30|70|NOSIG,UNKNOWN
5-10KT|North|9000|9999|30|70|NOSIG,5-10KT|North|2000|9000|27|80|TSRA,<5KT|VRB|4000|7000|28|80|VCTS
5-10KT|North|2000|9000|27|80|TSRA,<5KT|Southwest|5000|6000|24|90|-RA,UNKNOWN
<5KT|Southwest|5000|6000|24|90|-RA,5-10KT|North|4000|9000|28|80|HZ,UNKNOWN
5-10KT|North|4000|9000|28|80|HZ,5-10KT|North|9000|9999|30|70|NOSIG,UNKNOWN
5-10KT|North|9000|9999|30|70|NOSIG,<5KT|East|5000|9000|28|80|HZ,<5KT|Northeast|6000|9000|28|80|NOSIG
<5KT|East|5000|9000|28|80|HZ,5-10KT|VRB|2000|6000|26|90|VCTS,<5KT|Northwest|2000|6000|27|80|HZ
5-10KT|VRB|2000|6000|26|90|VCTS,5-10KT|North|5000|9999|28|80|-RA,<5KT|VRB|3000|9000|27|90|BR
5-10KT|North|5000|9999|28|80|-RA,5-10KT|North|9000|9999|30|70|NOSIG,UNKNOWN
5-10KT|North|9000|9999|30|70|NOSIG,<5KT|Northeast|4000|9999|29|80|SHRA,<5KT|North|6000|9999|28|80|NOSIG
<5KT|Northeast|4000|9999|29|80|SHRA,5-10KT|North|2000|5000|27|90|VCTS,UNKNOWN
5-10KT|North|2000|5000|27|90|VCTS,5-10KT|North|5000|8000|28|80|HZ,UNKNOWN
5-10KT|North|5000|8000|28|80|HZ,5-10KT|North|7000|9999|31|70|NOSIG,<5KT|Southwest|5000|6000|26|80|-RA
5-10KT|North|7000|9999|31|70|NOSIG,5-10KT|Northeast|5000|9999|28|80|-RA,5-10KT|VRB|2000|6000|28|80|VCTS
5-10KT|Northeast|5000|9999|28|80|-RA,5-10KT|North|5000|7000|28|80|VCTS,UNKNOWN
5-10KT|North|5000|7000|28|80|VCTS,10-15KT|North|5000|9000|28|80|-RA,UNKNOWN
10-15KT|North|5000|9000|28|80|-RA,10-15KT|North|9000|9999|31|70|NOSIG,UNKNOWN
10-15KT|North|9000|9999|31|70|NOSIG,5-10KT|Northeast|3000|9000|28|80|+TSRA,UNKNOWN
